name,code,userType,category,description
Operator User Management,OPS_USER_MANAGEMENT,ADMIN,,Manage Operator User Accounts
Corporate User Management,CORPORATE_USER_MANAGEMENT,OPERATIONS,,Manage Corporate User Accounts
Retail User Management,RETAIL_USER_MANAGEMENT,OPERATIONS,,Manage Retail User Accounts
Manage Configuration,MANAGE_CONFIG,ADMIN,,Configuration Settings
Manage Code Configurations,CODE_CONFIG,ADMIN,,Manage Code Configurations
Manage Settings Configurations,SETTING_CONFIG,ADMIN,,Manage Settings Configurations
Manage Audit Configurations,AUDIT_CONFIG,ADMIN,,Manage Audit Configurations
Bank Setup,BANK_CONFIG,ADMIN,,Bank Setup Perm
Manage Financial Institution,FIN_INST,ADMIN,,Manage Financial Institutions
Manage Service Requests Configurations,SERVICE_REQ,ADMIN,,Manage Service Request Configurations
Manage User Access,MANAGE_ACCESS,ADMIN,,Manage System User Access
Manage User Roles,MANAGE_ROLES,ADMIN,,Manage User Roles
Manage User Permissions,MANAGE_PERMISSIONS,ADMIN,,Manage User Permissions
New Service Request Config,ADD_SERV_REQ_CONFIG,ADMIN,,Create New Service Request Configuration
Add Report,GENERATE_REPORT,ADMIN,,Generate Report
Ops Change Password ,OPS_CHANGE_PASSWORD,OPERATIONS,,Change Password Menu
